long,lat,value
295.500000, -42.500000, 0.197842
296.500000, -42.500000, 0.344802
172.500000, -41.500000, -1.354275
286.500000, -41.500000, -0.562571
287.500000, -41.500000, -0.476566
288.500000, -41.500000, -0.390559
289.500000, -41.500000, -0.298068
290.500000, -41.500000, -0.203413
291.500000, -41.500000, -0.128617
292.500000, -41.500000, -0.113392
293.500000, -41.500000, -0.098168
294.500000, -41.500000, -0.013097
175.500000, -40.500000, -0.785576
176.500000, -40.500000, -0.675739
286.500000, -40.500000, -0.613934
287.500000, -40.500000, -0.566258
288.500000, -40.500000, -0.518579
289.500000, -40.500000, -0.384140
290.500000, -40.500000, -0.220783
291.500000, -40.500000, -0.089661
292.500000, -40.500000, -0.055247
293.500000, -40.500000, -0.020834
294.500000, -40.500000, 0.046732
295.500000, -40.500000, 0.125350
296.500000, -40.500000, 0.210812
297.500000, -40.500000, 0.316807
174.500000, -39.500000, -1.099128
175.500000, -39.500000, -0.796311
176.500000, -39.500000, -0.548345
287.500000, -39.500000, -0.687193
288.500000, -39.500000, -0.690147
289.500000, -39.500000, -0.492615
290.500000, -39.500000, -0.228256
291.500000, -39.500000, -0.017986
292.500000, -39.500000, 0.030013
293.500000, -39.500000, 0.078013
294.500000, -39.500000, 0.137007
295.500000, -39.500000, 0.199667
296.500000, -39.500000, 0.258600
297.500000, -39.500000, 0.306359
142.500000, -38.500000, -0.074542
143.500000, -38.500000, 0.039882
146.500000, -38.500000, 0.557060
174.500000, -38.500000, -1.210957
175.500000, -38.500000, -0.809091
176.500000, -38.500000, -0.490280
177.500000, -38.500000, -0.420643
286.500000, -38.500000, -0.732888
287.500000, -38.500000, -0.763819
288.500000, -38.500000, -0.794753
289.500000, -38.500000, -0.557076
290.500000, -38.500000, -0.229861
291.500000, -38.500000, 0.031332
292.500000, -38.500000, 0.094470
293.500000, -38.500000, 0.157608
294.500000, -38.500000, 0.225126
295.500000, -38.500000, 0.294103
296.500000, -38.500000, 0.350345
297.500000, -38.500000, 0.368378
298.500000, -38.500000, 0.386410
299.500000, -38.500000, 0.429339
300.500000, -38.500000, 0.480567
301.500000, -38.500000, 0.515357
140.500000, -37.500000, -0.178028
141.500000, -37.500000, -0.194297
142.500000, -37.500000, -0.103690
143.500000, -37.500000, -0.013081
144.500000, -37.500000, 0.145912
145.500000, -37.500000, 0.327698
146.500000, -37.500000, 0.469177
147.500000, -37.500000, 0.489724
148.500000, -37.500000, 0.510275
149.500000, -37.500000, 0.430016
175.500000, -37.500000, -0.827982
287.500000, -37.500000, -0.707515
288.500000, -37.500000, -0.698463
289.500000, -37.500000, -0.489486
290.500000, -37.500000, -0.213867
291.500000, -37.500000, 0.013581
292.500000, -37.500000, 0.096515
293.500000, -37.500000, 0.179448
294.500000, -37.500000, 0.306776
